stream,verdict,fortran_instructions,nanoclo_instructions,official_instructions,fortran_over_nanoclo,fortran_over_official,fortran_peak_rss_kib,nanoclo_peak_rss_kib,official_peak_rss_kib,sha256
good/perf/magma-list-deep-n36.ndjson,accept,98648065686,140525769802,175148071754,0.7019927079922391,0.5632266727124108,6064288,3988300,6668336,8adb6a65960f41fd8fdc8447b70b942075448ecd5155c1c3ed0b7adb954da34f
good/perf/magma-list-pair-n21.ndjson,accept,132504053576,86729867804,102609045733,1.5277788025163908,1.2913486586824918,10810440,5638364,3744948,9536b3bb1529418dd3ff735dc3d288641c20cf6a71a01716647f62088e0ba0e2
good/perf/magma-list-pair-n7.ndjson,accept,12503616893,4331508551,9266968282,2.8866656375671553,1.349267258989848,822048,715488,393944,c3894b9ba91947cd23c7e6263813868a31dc8092123bbc5962379732ef99e906
good/perf/magma-string-n4.ndjson,accept,17748164549,6579232560,20861137786,2.6976040726853405,0.8507764404351363,178160,226196,118936,e6f1f83c80c670c5bbd7b532e228e8624941e7d6de4b9bb25f71bdc9282f07dd
good/perf/magma-string-pair-n9.ndjson,accept,37062477373,14775013246,45734877850,2.5084564565811016,0.8103766559638904,1568584,914696,911460,b10875abef30d9b71126537270f481fd855149a563ff35d6d5b047d6d5072cd7
good/perf/repeated-subproblem.ndjson,accept,8495286,3207944,167841529,2.648202711768036,0.050614922603570894,17400,53908,66104,97ec5a16351fb60e171f67ff3ff292e4a166a59bc7af3772cc782f77ec26dfc8
good/perf/shared-subterm.ndjson,accept,150913549,49382663,343305853,3.056002650160847,0.4395892108486714,18084,61040,72736,2df9f9fbfb7167bb9e0d004ff25afd99fa434113fc343f130eb459661f40e29b
good/perf/shift-cascade.ndjson,accept,91373213,25631161,272221533,3.564926809206965,0.33565755064644354,18184,65120,68160,ece47e6c9082d05db8a3063bb164a0f64124f25760023b87803aea2d82911691
good/perf/unroll-versus-evaluate.ndjson,accept,68931566,19210762,182583472,3.5881744826155257,0.37753453390348496,18096,59068,66184,815d75fa70b6c06f4164e86ff77050b9679162f3be939c6757bd66f73f432203
good/proof-irrel.ndjson,accept,1985893,997298,162338786,1.9912734207829554,0.012233016205997746,18104,37476,66092,962cfb1378bc2f73e327fd88e526a0b9b7108f4ad1a1df55766d7d1156ad8d76
good/sparse-name-index.ndjson,accept,1364514,849829,161664435,1.605633603936792,0.00844040929595925,18088,35412,66196,3279c9c8ae24d5b3a8433ddee5d4a421c4e15e3cd84117fb4873d1284112b96d
good/std.ndjson,accept,534572405885,202572317057,616535251970,2.638921317835257,0.8670589462271523,1766860,908324,893620,0f7993829d6fcc8b07d177a3879024fbbc8908f7c6fd9cb2fa93370e4397e204
good/tutorial/001_basicDef.ndjson,accept,1379236,845162,161693684,1.6319190877015295,0.008529931200033763,18084,35424,66200,82023f63efe0d75e9966621bfc69033ccd1333e8d0d989b3d54a79859e9da0ce
good/tutorial/003_arrowType.ndjson,accept,1500632,864583,161785225,1.7356714161624738,0.009275457632178711,18036,35408,66908,5c89ad23548a25281adaaaa705193f3d3846902f93e0a6740e3b95566706ae52
good/tutorial/004_dependentType.ndjson,accept,1437497,854210,161728621,1.6828379438311423,0.008888327811810131,18044,33332,66156,9c1601d4a39c4393a31cb6372c6d78dc245db79e385e359a80573b5bbfb09f83
good/tutorial/005_constType.ndjson,accept,1591475,894372,161880294,1.7794329428917721,0.009831184270026097,18100,35460,66100,b193eee0eb8419ffdf4287c220b346d6f7f90460d8e32bef631309551626d042
good/tutorial/006_betaReduction.ndjson,accept,1778229,921248,162076498,1.9302391972628434,0.010971541352034889,18072,37444,66172,3320f6f67cd55b2bae9112ea9b0d002f231e88ec4fb3c3f3c8fd4e750b13ce78
good/tutorial/007_betaReduction2.ndjson,accept,1842800,927160,162103819,1.9875749600931878,0.011368023352984669,18004,36148,66172,fb85e6eb84319dce9fed8acacb08cab2c5a54b67960112bc9de3eac22fc5a909
good/tutorial/008_forallSortWhnf.ndjson,accept,1804181,918453,162041139,1.9643694342552096,0.011134092312199804,18108,36148,66152,b4af42800421f4ac5ec7e699a706bdd82f9f1324a5d2d49769fb340bf36e6a48
good/tutorial/013_thmProof.ndjson,accept,1849828,944601,162156277,1.9583167919576625,0.011407686672530105,18092,33340,66124,5e4664a6d4f05afbeff4e0af19681e88b2817c48787a9a281c4ba95d80483333
good/tutorial/015_levelComp1.ndjson,accept,1401907,851202,161706983,1.6469733388784331,0.008669427714200815,18084,35428,66164,2e6b6016ac241c9e1dd01ee86782f21adabd928bca24880b60619de453bec0c3
good/tutorial/016_levelComp2.ndjson,accept,1410006,850543,161714426,1.65777156475334,0.0087191108108067,18208,35416,66112,aa971f4ba7603e183ebcf90a8ac92241f5fa2a96fbc6659e45380f52de3ffd6e
good/tutorial/017_levelComp3.ndjson,accept,1441916,853710,161718712,1.6889997774419885,0.008916197650646636,18028,35432,66140,e11ecbb09540778e2d2d0084d7759ce1c1483ca7f02168b87e1ec8bd1bf2c5cd
good/tutorial/018_levelParams.ndjson,accept,1804032,942135,162110922,1.9148338613892912,0.011128380356753507,18096,40236,66180,d78d458ea81bb210c80d3915976a03536f1b267879207f3604745b777014a167
good/tutorial/020_levelComp4.ndjson,accept,1448112,849213,161714445,1.7052400281201536,0.008954747363477641,18076,37524,66128,39dced2925dcce7f66539f47f408d276b48d57638b4bfefc47860eed2f710a58
good/tutorial/021_levelComp5.ndjson,accept,1418119,849844,161714712,1.6686815462602549,0.00876926398632179,18092,35392,66952,31910166228cf46f68dbaa876d1c155734475b0f3f7a15c2a82f5535e8c150f8
good/tutorial/022_imax1.ndjson,accept,1503422,879757,161857760,1.7089059819927548,0.009288538282007609,18072,33408,66948,8fe3d41b913c8717847bc4a544e6b947bb5a1b616d80dbe19859d465ff225d57
good/tutorial/023_imax2.ndjson,accept,1555600,881031,161868705,1.7656586431124444,0.009610257893889989,18072,35416,66184,9d7fdab95e9ac1f87e19055e3133b98173f90d94c641870dc49cff6db2d1061f
good/tutorial/024_levelMaxComm.ndjson,accept,1443775,867179,161763629,1.6649100128116572,0.00892521396141527,18132,38264,66160,8a2ed8095cf9f69fcebb1e8b695944599cd524b42334cd6ff3051a5deebe7134
good/tutorial/025_levelMaxAssoc.ndjson,accept,1494863,874629,161806630,1.7091395323045542,0.009238576935938905,17324,33368,65424,2e97e820cfffa0f890ea70f7c3ea7f7e1636568196f3fc738868249644f9f229
good/tutorial/026_levelMaxIdem.ndjson,accept,1454996,866682,161729028,1.6788118364059712,0.008996504944059888,17916,35416,66196,1ee0d884c19ef76feb4ba77f5448507da2f8d983a688f4e8711d61784f50e571
good/tutorial/027_levelMaxAbsorb.ndjson,accept,1464241,861045,161763687,1.7005394607715043,0.009051728649087975,18064,35392,65436,87fab97e0b524a64e21ebe2adbadb407b381d1bee45cd2060e4a24055d554b11
good/tutorial/028_inferVar.ndjson,accept,1523567,873153,161828246,1.7449026688335263,0.009414716142940831,18012,39512,66876,2ed39c087f88481185d28085d7d2ba2f2985426da70062bfe4e6dd987af46110
