stream,verdict,optimized_instructions,original_instructions,rust_instructions,fewer_instructions_percent,original_over_rust,optimized_over_rust,original_peak_rss_kib,optimized_peak_rss_kib,rust_peak_rss_kib
bad/tutorial/050_inductWrongCtorParams.ndjson,reject,1681094,1826249,1193074,7.948258972352617,1.530708908248776,1.4090442001082917,18028,18108,43608
bad/tutorial/051_inductWrongCtorResParams.ndjson,reject,1685691,1947539,1230206,13.44507093311097,1.583099903593382,1.3702509986132403,18164,18052,39520
bad/tutorial/052_inductWrongCtorResLevel.ndjson,reject,1732708,1979418,1237499,12.463764601514182,1.5995309895199916,1.4001692122579492,18112,18064,40312
bad/tutorial/053_inductInIndex.ndjson,reject,1594859,1763474,1178794,9.561524581592929,1.4959984526558499,1.352958192864911,18008,18112,33368
bad/tutorial/054_indNeg.ndjson,reject,1586233,1595031,1076091,0.5515880255618888,1.4822454606534206,1.4740695721830217,18144,18052,27944
bad/tutorial/056_reduceCtorType.mk.ndjson,reject,1827333,2062991,1200965,11.423123028651116,1.717777787029597,1.5215539170583656,18116,18024,33432
bad/tutorial/057_indNegReducible.ndjson,reject,1868995,1971125,1139877,5.181305092269639,1.7292435938263515,1.6396462074416802,17268,18144,37452
bad/tutorial/061_typeWithTooHighTypeField.mk.ndjson,reject,1577373,1722313,1159049,8.415427393278685,1.4859708260824176,1.360920030128148,18124,18200,37428
bad/tutorial/073_BogusRecursor.ndjson,reject,1894914,2081419,1330602,8.960473599981555,1.5642686543384123,1.424102774533632,17260,18068,37472
bad/tutorial/087_projOutOfRange.ndjson,reject,2694786,3261524,1547522,17.376477990043917,2.1075784383033005,1.741355534848616,18056,18108,33344
bad/tutorial/088_projNotStruct.ndjson,reject,2495441,2864846,1467506,12.894410380174016,1.952186907583342,1.7004639163315176,17972,18092,42308
bad/tutorial/090_projProp2.ndjson,reject,4264839,5141083,2221820,17.043957469661553,2.31390616701623,1.919524984022108,17976,18128,45644
bad/tutorial/092_projProp4.ndjson,reject,4270352,5131160,2189769,16.776089617162594,2.3432425977351947,1.9501381195916099,18028,18060,43668
bad/tutorial/093_projProp5.ndjson,reject,4289114,5435193,2118496,21.086261334234123,2.565590399981874,2.0246033034756734,18020,17996,41632
bad/tutorial/094_projProp6.ndjson,reject,4313580,5089636,2122844,15.24777017452722,2.397555354986047,2.0319816246507045,18064,18152,38212
bad/tutorial/096_projIndexData.ndjson,reject,3433756,3987669,1843957,13.890646390159267,2.162560732164579,1.8621670678871578,17964,18100,30020
bad/tutorial/097_projIndexData2.ndjson,reject,3367149,3978226,1852583,15.360540100034537,2.1473942058196585,1.8175428577289114,18104,18028,37504
